number,Exponnorm_Off_peak,Exponnorm_Peak,Mean_OP,Mean_p,flow,Line,label,Off_peak_std_dev,Peak_std_dev,Off_peak_decay_rate,Peak_decay_rate
,,,,,,,,,,,
9,"(2.6598327633279473, 55.36111221294156, 25.00109921680961)","(3.388104030098151, 61.0186172366972, 20.722916925467075)",121.859855,131.2300156,10575474,Line1,High,66.0432105,73.20573573,0.015037878,0.014242702
44,"(2.3540623964644944, 54.79725336243757, 31.2627159862203)","(2.6007552055181047, 77.00154654832825, 24.955571281631425)",128.3916375,141.9048785,10120380,Line1,High,73.63202417,69.535768,0.013587993,0.015407529
14,"(3.7277318501471846, 52.81043202720367, 20.704014091527817)","(3.898500451854403, 55.42618188460115, 19.744821287070202)",129.9894448,132.4013766,4571213,Line1,High,79.90779818,79.46721694,0.01295689,0.012991198
11,"(2.9557465405445793, 59.35195336714245, 21.918536902348663)","(2.660571344420677, 61.01477437616012, 27.198820970285297)",124.137593,133.3791781,3506321,Line1,High,68.39299205,77.30706812,0.015435519,0.013818949
10,"2.802420057992547, 50.69198798905373, 22.733135557798548","(3.4602260524278194, 57.14310668700938, 17.67776332289121)",114.7706766,118.3121639,2912292,Line1,High,67.7176898,63.67226142,0.008853215,0.016348135
12,"(3.4475763185937676, 58.35408999826112, 17.575984474213623)","(3.1431103905943782, 59.731637651219486, 22.17029725768034)",118.9486378,129.4153293,2871120,Line1,High,63.09211091,73.12550147,0.016503135,0.01435056
7,"(2.759398514966799, 58.95012928192239, 17.760518919747057)","(3.181888067904177, 61.4848002408188, 17.389562719310376)",107.94,116.8164424,2768356,Line1,High,52.927163,57.99989234,0.020347,0.018072842
41,"(3.632709597179999, 59.757579352943935, 19.607371804581845)","(3.5196209531860605, 58.506758848147, 21.997993831291506)",130.9854671,135.9313589,2551351,Line1,High,73.87733766,80.48900807,0.014039445,0.012915792
16,"(1.642300117879924, 72.19238841864632, 32.64239615275176£©","(2.0918936785330136, 75.74870705238862, 27.279279793820876)",125.654,132.548,2509215,Line1,High,62.76471306,63.25040406,0.01865372,0.017523768
8,"(3.2019143054756487, 52.13569153240243, 19.114545094244406)","(3.158293541503042, 60.55383582969526, 17.33641446230549)",113.3388269,115.3073217,2067052,Line1,High,64.11855905,57.43252978,0.016339032,0.018263677
52,"(2.9127956993052384, 63.45637529228495, 34.36127006643675)","(3.40501240929244, 64.29399193236358, 22.67104263566255)",163.543735,141.4891734,1752743,Line1,Med,105.8214366,80.45540518,0.009991272,0.012954176
48,"(3.052272080962966, 44.21047501549013, 20.506178200403177)","(4.9485345073529245, 51.41136145415804, 18.93383632492356)",106.8009102,145.1061039,1631011,Line1,Med,65.86399566,95.58867565,0.015976882,0.010672957
13,"(3.1957543820749317, 58.867761099576995, 20.195412957470026)","(3.317915951207333, 57.31376119626819, 17.51583561933758)",123.4073406,115.4298316,1624794,Line1,Med,67.62552788,60.69828775,0.015494368,0.017206945
6,"(2.751817873426741, 48.5319241971234, 23.45125796539159)","(3.24487862956419, 58.63647952459876, 18.44907283221977)",113.065515,118.5014817,1473779,Line1,Med,64.592235,62.64332984,0.015495805,0.016704251
15,"(2.950567942898741, 51.004472249018605, 23.099935960601588)","(3.188083192765931, 58.73865555893369, 24.97565574177585)",119.1624028,138.3631239,1441065,Line1,Med,71.96603737,83.44962152,0.014671807,0.012558954
45,"(2.7025008335994243, 44.85084083653929, 19.01497198891245)","(2.9621333795808775, 64.034307851639184, 20.021704861113903)",96.23881849,123.3412681,1431430,Line1,Med,54.79318759,62.59540082,0.019459805,0.016861427
54,"(3.594900101574163, 58.86093065549473, 26.464273705757027)","(3.6554469583905664, 65.24807128165624, 22.49914801109375)",153.9973509,147.4925134,1333949,Line1,Med,98.74865183,85.26640562,0.010511222,0.012158876
55,"(2.6856564953289306, 65.68301552665045, 29.677093131860744)","(2.172247077408337, 85.05912181920723, 35.98333691448369)",145.3854935,163.2238203,1320409,Line1,Med,85.04830889,86.04952422,0.012546661,0.012793499
5,"(2.7456539997278826, 51.00798928735924, 22.411660027740233)","(3.015044571742539, 59.29929381470901, 19.075226016246148)",112.5426533,116.8119505,1156298,Line1,Med,61.59588857,60.59348086,0.016251003,0.017387477
46,"(2.539998476282438, 54.43209004686179, 21.420792842195873)","(3.932847457355, 57.91770612252108, 15.833039701488696)",108.8408712,120.1866361,1155681,Line1,Med,58.47363368,64.25032903,0.018379386,0.016059373
42,"(3.1437976643493597, 61.6267423991355, 22.271809105940953)","(3.020321941753557, 55.6755530659912, 19.685320159011376)",131.6448038,115.1315575,1102176,Line1,Med,73.47491007,62.63009093,0.014282029,0.016819159
50,"(3.656199318384035, 41.96305398610352, 20.590119762341075)","(3.285798835188483,55.23590651278043, 23.2496459190173)",117.2446358,131.629566,1056285,Line1,Med,78.04658606,79.85322313,0.013283462,0.013090092
47,"(2.720537958245828, 58.3267599837124, 27.126775556638915)","(4.407233254106765,70.668421196423694, 17.932803888140562)",132.1261826,149.7024708,1011403,Line1,Med,78.62707375,81.04299141,0.013550242,0.012652774
53,"(2.6651114404902975, 66.4199632352661, 40.55847888384356)","(2.167901849500738, 66.6455102656513, 31.960732142382632)",174.5128293,135.9332406,989252,Line1,Med,115.4515392,76.30385293,0.009251304,0.01443257
187,"(2.8650242907932473, 56.202539082940845, 23.356552107965516)","(2.937004216022644, 58.08005473974968, 26.563574965742646)",123.1196282,136.0973864,716140,Line1,Med,70.87612676,82.41557835,0.014943866,0.012817665
